Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 226.697, -31.0782, 233.168, -151.15, 238.803, 89.906, 1.39435E-010, 172.504, 0, 0, 1.62695E-011, -63.4349
100, 2.00000, 0.003497, 149.286, 0.00196865, -47.3, 0.00182292, 36.1534, 7.18033E-016, 48.9182, 1.9724E-016, -129.289, 1.11022E-016, -90
150, 3.00000, 0.614682, -36.5045, 0.455953, -44.6722, 0.298009, -56.3903, 5.00227E-014, 16.5044, 3.73458E-014, 177.274, 4.27803E-014, -85.2364
200, 4.00000, 0.012922, 159.12, 0.00832625, 43.8417, 0.00282688, -71.825, 1.38502E-015, -118.748, 5.45708E-016, -131.392, 5.49532E-016, 45
250, 5.00000, 0.489093, 70.6411, 0.360851, -166.406, 0.271459, -31.3878, 4.87771E-014, 79.5085, 5.65373E-014, 133.727, 1.55114E-014, -66.3706
300, 6.00000, 0.0132518, -57.2485, 0.0070141, -65.1662, 0.00503777, -88.5212, 1.04083E-015, 143.13, 9.88348E-016, -128.157, 2.48253E-016, -26.5651
350, 7.00000, 0.51606, -144.979, 0.367436, 92.1449, 0.242299, -2.19692, 5.40258E-015, 99.4623, 1.63772E-014, -102.529, 2.27485E-014, -51.3402
400, 8.00000, 0.00911066, 36.6088, 0.00328489, 136.028, 0.00333195, -56.6233, 1.05041E-015, 133.394, 2.28878E-016, -14.0362, 1.00074E-016, 146.31
450, 9.00000, 0.431525, -86.3753, 0.310514, -86.8029, 0.214971, -99.0499, 5.13994E-014, -161.878, 1.69686E-014, -132.879, 3.0054E-014, -161.03
500, 10.00000, 0.0076637, -176.59, 0.00491927, 65.4448, 0.00237161, -4.07486, 3.58144E-016, 125.538, 3.20394E-016, -175.03, 3.10317E-016, 63.4349
550, 11.00000, 0.412096, 107.995, 0.165483, -112.284, 0.150092, 19.585, 4.08948E-014, 55.6197, 9.77249E-015, -21.3179, 1.12347E-014, -71.565
650, 13.00000, 0.130997, -179.313, 0.15336, 46.4524, 0.161562, -48.7654, 4.72073E-015, 41.1859, 4.72073E-015, -41.1859, 3.97205E-015, -116.565
750, 15.00000, 0.168485, -21.6913, 0.0834106, -43.665, 0.0535626, -68.973, 2.23773E-015, 172.875, 3.12494E-015, 77.692, 4.78299E-015, -68.1986
850, 17.00000, 0.152357, 2.46944, 0.108431, 148.174, 0.0720074, -73.4054, 1.35447E-014, 180, 1.57009E-015, -8.1301, 6.35839E-015, -77.9052
950, 19.00000, 0.209684, -111.574, 0.170817, 130.325, 0.0922597, 57.6543, 1.24523E-014, 68.0089, 3.30093E-015, 137.726, 2.80867E-015, 18.4349
1050, 21.00000, 0.132654, 152.83, 0.0660461, 145.362, 0.0260839, 97.0232, 1.37327E-015, 14.0362, 1.93892E-015, -103.241, 3.88578E-015, 180
1150, 23.00000, 0.26121, 102.605, 0.12332, -109.267, 0.114635, 15.921, 1.37255E-014, -170.69, 1.77982E-015, 86.4237, 8.34368E-015, -25.2011
1250, 25.00000, 0.186926, 14.6706, 0.158033, -114.452, 0.110523, 176.769, 1.1718E-014, -152.949, 3.66205E-015, 165.964, 6.23309E-015, -175.914
1350, 27.00000, 0.214104, -70.8736, 0.140591, -89.3817, 0.0915634, -143.701, 1.02068E-014, -45.8814, 3.33991E-015, -111.448, 2.10942E-015, -90
1450, 29.00000, 0.348993, -124.744, 0.15886, 22.4988, 0.175199, 144.866, 1.15207E-014, -117.553, 4.14814E-015, -15.5241, 1.51528E-014, -124.854
1550, 31.00000, 0.283047, 170.257, 0.224171, 42.0436, 0.147387, -42.5884, 4.52884E-015, -11.3099, 6.81138E-015, -70.9744, 6.16948E-015, -149.744
1650, 33.00000, 0.232064, 65.5846, 0.176968, 41.575, 0.116464, -4.19851, 5.27794E-015, 22.249, 4.49057E-015, -171.469, 6.40859E-015, -75.9638
1750, 35.00000, 0.468657, 1.66517, 0.231868, 150.243, 0.250678, -81.1637, 2.08769E-014, 88.7811, 3.23302E-015, 15.9454, 9.93014E-015, 26.5651
1850, 37.00000, 0.314069, -66.0102, 0.277199, 156.59, 0.215787, 81.1829, 4.0943E-015, -49.3987, 9.93014E-016, -26.5651, 7.35434E-015, -118.887
1950, 39.00000, 0.186489, 170.483, 0.167093, 151.031, 0.081367, 113.293, 9.77769E-015, 2.27761, 2.53413E-015, -151.189, 5.07434E-015, -169.919
2050, 41.00000, 0.343746, 131.824, 0.165194, -82.908, 0.221969, 48.9025, 1.301E-014, 62.5603, 1.98603E-015, 153.435, 1.83103E-015, -75.9638
2150, 43.00000, 0.301335, 65.2567, 0.229028, -77.2014, 0.184598, -158.061, 3.61462E-015, 132.51, 5.55112E-016, 0, 8.67112E-015, -92.9357
2250, 45.00000, 0.16422, -83.5628, 0.165076, -98.9644, 0.0691428, -148.115, 4.10783E-015, 161.075, 2.4101E-015, -172.057, 1.16573E-015, 90
2350, 47.00000, 0.430583, -120.687, 0.232802, 29.1013, 0.272089, 163.002, 1.51577E-014, -95.0424, 4.0943E-015, -49.3987, 7.88258E-015, 180
2450, 49.00000, 0.315434, 179.946, 0.243389, 31.2705, 0.202017, -41.2301, 1.48724E-014, -83.1402, 9.48575E-016, 20.556, 3.14018E-015, -45
