Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 213.696, -32.8458, 207.315, -153.564, 210.212, 86.3982, 6.55846E-012, 146.31, 3.27418E-011, 180, 3.08693E-011, 45
100, 2.00000, 0.0219376, -87.0839, 0.0115405, 22.6622, 0.0124364, 166.823, 1.09344E-015, -156.038, 3.51083E-016, -108.435, 8.88178E-016, 180
150, 3.00000, 1.74633, -68.3408, 1.78439, -71.4841, 1.78141, -77.5515, 8.52651E-014, 90, 4.49387E-014, -71.565, 1.79755E-013, -18.4349
200, 4.00000, 0.0411262, -161.376, 0.0511, 79.2051, 0.0273115, -83.822, 1.9767E-015, -141.843, 1.70787E-015, -24.4825, 2.70129E-015, -99.4623
250, 5.00000, 2.16237, 71.0217, 1.48182, -176.186, 0.290612, 2.55517, 6.32854E-014, -175.17, 4.47275E-014, -6.84277, 3.01458E-014, 135
300, 6.00000, 0.103415, 177.376, 0.0980643, 175.989, 0.0303, 58.0362, 5.34754E-015, 131.634, 4.213E-015, -161.565, 2.88658E-015, 22.6199
350, 7.00000, 1.44032, -152.343, 2.06178, 84.0692, 0.754396, -5.79009, 3.01458E-014, 45, 1.61091E-013, 48.5763, 4.26326E-014, -90
400, 8.00000, 0.0701367, -25.1437, 0.0525211, 99.2959, 0.0261333, -124.543, 2.28878E-016, 104.036, 7.55033E-016, -162.897, 8.9509E-016, -172.875
450, 9.00000, 1.60576, -106.038, 1.70247, -110.781, 1.12601, -145.519, 3.55271E-014, 126.87, 3.03544E-014, -110.556, 3.55271E-014, 143.13
500, 10.00000, 0.0271499, 19.6953, 0.0405943, -110.003, 0.028189, -69.2394, 9.30536E-016, -162.646, 4.44089E-016, 180, 6.66134E-016, -90
550, 11.00000, 0.63919, 66.5463, 0.830311, -162.856, 0.864505, -22.8931, 2.27485E-014, 51.3402, 1.42109E-014, -90, 3.41227E-014, -38.6598
650, 13.00000, 0.170558, 161.345, 0.327507, 60.1613, 0.24477, 130.677, 1.25607E-014, -81.8699, 4.72073E-015, -138.814, 7.10543E-015, -90
750, 15.00000, 0.171896, -130.604, 0.118557, -95.2764, 0.0804728, 84.551, 3.38208E-015, -113.199, 2.39149E-015, 21.8014, 1.25607E-015, -135
850, 17.00000, 0.479963, 10.3378, 0.479193, 117.632, 0.620005, -125.273, 2.27658E-014, -110.556, 3.66205E-015, 75.9638, 4.44089E-015, -143.13
950, 19.00000, 0.258932, -100.185, 0.106525, 129.428, 0.454868, 8.03659, 8.74754E-015, 23.9625, 5.32907E-015, -90, 1.77636E-015, 0
1050, 21.00000, 0.118723, 75.8429, 0.127041, 103.567, 0.191125, 147.166, 3.38936E-015, -121.608, 1.42178E-015, 128.66, 1.77636E-015, 90
1150, 23.00000, 0.277997, 78.991, 0.393067, -154.498, 0.525928, -21.1637, 7.16072E-015, 7.12502, 5.61733E-015, 108.435, 3.97205E-015, 116.565
1250, 25.00000, 0.480426, -5.22718, 0.689471, -163.309, 0.114936, 117.502, 5.65342E-015, -160.498, 3.55445E-015, -1.78991, 5.82841E-015, 130.365
1350, 27.00000, 0.428674, -124.21, 0.47025, -132.981, 0.266236, -129.415, 7.2836E-015, 142.431, 3.58036E-015, 150.255, 5.77316E-015, -90
1450, 29.00000, 1.0397, 164.403, 0.697241, -62.7827, 0.845496, 97.2078, 9.05768E-015, 78.6901, 8.1886E-015, -102.529, 3.55271E-015, 180
1550, 31.00000, 1.28468, 146.627, 1.37475, -15.3361, 0.570307, -86.6183, 5.32907E-015, 0, 8.74754E-015, -66.0375, 1.13742E-014, 51.3402
1650, 33.00000, 0.392302, -55.8483, 0.491943, -87.3493, 0.160943, 159.301, 2.22045E-015, 180, 3.1792E-015, -114.775, 6.66134E-016, 0
1750, 35.00000, 1.7111, -48.1658, 1.02427, 60.6412, 0.843547, -154.522, 4.49474E-014, -119.604, 1.92142E-014, -146.31, 6.40475E-015, -146.31
1850, 37.00000, 0.748403, -140.445, 0.882397, 67.2663, 0.399237, -58.5247, 6.46604E-015, -105.945, 4.72073E-015, 41.1859, 5.34754E-015, 94.7636
1950, 39.00000, 0.30687, 117.041, 0.618363, 82.5482, 0.621329, 19.5666, 8.92608E-015, 95.7106, 1.98603E-015, 116.565, 5.61733E-015, -18.4349
2050, 41.00000, 0.856575, 51.2751, 0.574023, 162.398, 0.556803, -43.7845, 1.52614E-014, 8.36589, 3.10862E-015, 90, 2.51215E-015, 135
2150, 43.00000, 0.880732, -8.18446, 1.02689, -162.751, 0.454455, 79.7482, 1.83103E-015, 165.964, 8.1886E-015, 40.6013, 4.96507E-015, 153.435
2250, 45.00000, 0.279595, -165.661, 0.581425, 164.125, 0.498747, 128.676, 7.94411E-015, 116.565, 2.84356E-015, -51.3402, 5.17893E-015, 120.964
2350, 47.00000, 1.16955, 165.143, 0.821443, -86.4324, 1.01573, 55.5982, 1.03959E-014, -160.017, 6.21725E-015, 0, 1.09862E-014, 14.0362
2450, 49.00000, 0.956846, 98.037, 1.0197, -48.9912, 0.597199, -169.29, 5.61733E-015, -161.565, 1.25607E-015, -45, 1.77636E-015, 180
