Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 215.318, -32.7634, 204.756, -153.761, 211.483, 86.5523, 1.31169E-011, -146.31, 9.09495E-012, 143.13, 1.49998E-011, -75.9638
100, 2.00000, 0.0256207, -69.0417, 0.00562855, 24.0171, 0.0140473, 174.936, 3.84312E-015, 100.823, 2.48253E-016, -153.435, 1.77636E-015, -90
150, 3.00000, 1.17903, -88.3906, 1.66642, -73.3188, 1.45322, -57.8384, 4.14314E-014, -30.9638, 5.85929E-014, 75.9638, 1.14572E-013, -82.875
200, 4.00000, 0.049748, -144.128, 0.0353405, 57.4899, 0.0303862, -64.5721, 1.9767E-015, -38.1572, 1.48952E-015, -153.435, 5.32907E-015, 90
250, 5.00000, 0.077876, 82.3578, 0.635809, 172.196, 0.731488, -69.7564, 1.63048E-014, 29.3578, 7.16072E-015, -172.875, 1.58882E-014, -63.4349
300, 6.00000, 0.103936, 179.192, 0.0201537, 162.573, 0.0368941, 170.966, 1.88411E-015, 45, 1.11576E-015, -95.7106, 1.77636E-015, -90
350, 7.00000, 0.77841, -141.666, 1.13568, 92.4464, 1.02226, -40.3451, 4.9738E-014, 0, 4.76647E-014, -26.5651, 1.58882E-014, 63.4349
400, 8.00000, 0.0571237, -26.1954, 0.0323082, 113.843, 0.0395247, -141.949, 3.55965E-015, 86.4237, 1.29473E-015, 149.036, 6.28037E-016, -45
450, 9.00000, 0.888317, -136.929, 0.98478, -125.388, 0.966663, -123.717, 6.92779E-014, -67.3801, 2.16103E-014, -80.5377, 1.42109E-014, -90
500, 10.00000, 0.0387394, 7.76125, 0.0100971, 24.0927, 0.0111872, -126.013, 1.61841E-015, -112.166, 2.89777E-016, 73.3008, 2.00148E-016, 56.3099
550, 11.00000, 0.541818, 68.4905, 1.03584, -157.022, 0.614023, -42.7428, 1.91319E-014, 68.1986, 1.06581E-014, -90, 2.8917E-014, 100.62
650, 13.00000, 0.644434, -32.5771, 0.379616, -119.692, 0.275826, -139.919, 2.4437E-014, 70.9065, 3.97205E-015, -153.435, 7.16072E-015, -7.12502
750, 15.00000, 0.284629, -166.326, 0.0651813, -18.3989, 0.139484, -88.9025, 8.99212E-015, 159.775, 4.78299E-015, 111.801, 3.66205E-015, -14.0362
850, 17.00000, 0.332912, -0.229922, 0.529898, 98.23, 0.317022, -132.615, 2.38033E-014, -36.6561, 9.93014E-015, -169.695, 3.97205E-015, -116.565
950, 19.00000, 0.232355, -53.9949, 0.31223, 130.468, 0.443954, -32.4153, 3.55271E-015, 180, 7.85674E-015, 132.709, 3.97205E-015, 63.4349
1050, 21.00000, 0.205344, 16.6408, 0.144198, 137.575, 0.201771, 71.6672, 6.23309E-015, -94.0856, 3.58036E-015, 82.875, 2.22045E-015, -143.13
1150, 23.00000, 0.310057, 127.305, 0.489068, -174.877, 0.334459, -40.3301, 3.20237E-015, -123.69, 5.61733E-015, -71.565, 7.5886E-015, 69.444
1250, 25.00000, 0.330356, -20.3508, 0.207375, -160.685, 0.422023, 72.7338, 2.51215E-015, -45, 2.80867E-015, 18.4349, 1.48886E-014, -162.646
1350, 27.00000, 0.0723241, 115.779, 0.348842, -120.949, 0.615465, -127.157, 7.94411E-015, 153.435, 5.0243E-015, 135, 7.32411E-015, -14.0362
1450, 29.00000, 0.473474, -158.334, 0.642169, -55.1771, 0.816694, 70.6803, 1.08052E-014, -99.4623, 3.97205E-015, 63.4349, 7.16072E-015, 7.12502
1550, 31.00000, 1.11248, 148.234, 0.673373, 20.9536, 0.639701, -115.53, 3.41227E-014, -51.3402, 7.16072E-015, 150.255, 1.15463E-014, 157.38
1650, 33.00000, 0.750538, -115.263, 0.143154, -77.7416, 0.217624, 24.4282, 4.93019E-015, 54.1623, 2.66454E-015, 180, 2.58946E-015, 30.9638
1750, 35.00000, 0.830276, -31.7023, 0.815904, 34.8556, 1.19561, -160.392, 1.63772E-014, -40.6013, 5.68712E-015, 141.34, 1.43214E-014, 7.12502
1850, 37.00000, 0.376435, -167.284, 0.51596, 15.9037, 0.831749, -47.2387, 7.94411E-015, 26.5651, 1.98603E-015, -26.5651, 4.44089E-015, -126.87
1950, 39.00000, 0.280225, -29.3643, 0.467217, 57.2108, 0.266409, 140.609, 3.10862E-015, 180, 3.02013E-015, 53.9726, 3.92837E-015, 137.291
2050, 41.00000, 0.0881899, -11.84, 0.565958, 139.679, 0.630942, -38.4679, 3.58036E-015, 60.2551, 2.22045E-015, 90, 8.88178E-016, 0
2150, 43.00000, 0.533748, 3.94014, 0.358583, 167.897, 0.613586, 78.8528, 1.98603E-015, -63.4349, 2.66454E-015, -90, 1.08143E-014, -70.821
2250, 45.00000, 0.312569, 82.13, 0.468709, 161.014, 0.215317, -147.421, 4.86982E-015, -133.152, 2.48253E-015, -63.4349, 4.39626E-015, -135
2350, 47.00000, 0.377045, 174.205, 0.820344, -113.245, 0.938453, 58.325, 8.88178E-016, 0, 4.78299E-015, 158.199, 7.16072E-015, 7.12502
2450, 49.00000, 0.622011, 115.39, 0.462355, -61.1603, 0.583556, 174.259, 1.10309E-014, 139.899, 4.96507E-015, 10.3048, 3.20237E-015, -56.3099
