Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 234.129, -29.8227, 211.788, -152.825, 239.478, 88.7732, 7.22118E-011, -49.0856, 4.01828E-011, -174.806, 5.6827E-011, -129.806
100, 2.00000, 0.00237113, 8.9315, 0.0184728, 49.856, 0.000286748, 39.6473, 4.79287E-016, -136.98, 1.6674E-015, 137.973, 6.38265E-016, 11.9207
150, 3.00000, 0.378448, -45.4491, 0.840855, -52.765, 0.234358, -68.6686, 4.96507E-014, -79.6952, 7.02728E-014, 20.7256, 3.70914E-014, 106.699
200, 4.00000, 0.00370289, 122.087, 0.0392977, 84.3011, 0.00700463, 4.6308, 4.94612E-016, -34.1359, 3.3551E-015, -51.0441, 1.83775E-015, -64.9831
250, 5.00000, 0.182795, 52.7234, 0.47336, 160.748, 0.167123, 142.868, 2.97904E-014, -63.4349, 2.86979E-014, 68.1986, 3.70914E-014, 106.699
300, 6.00000, 0.00756535, 71.5964, 0.0787432, -172.802, 0.011143, 98.055, 3.23683E-016, 149.036, 7.42462E-015, 90, 2.45256E-015, 84.8056
350, 7.00000, 0.133421, -107.682, 0.916362, 76.3174, 0.13307, -16.2534, 3.64478E-014, -46.9749, 1.4349E-014, -158.199, 1.32037E-014, -70.3462
400, 8.00000, 0.0138698, 12.2868, 0.0452466, 86.8097, 0.00750118, -1.00568, 2.62096E-015, 174.531, 3.09235E-015, 28.4052, 1.5983E-015, 159.677
450, 9.00000, 0.202628, -147.383, 0.723529, -104.919, 0.242159, 171.295, 7.99361E-015, 90, 8.426E-015, -108.435, 2.13902E-014, -138.366
500, 10.00000, 0.0114571, 169.842, 0.0289898, -101.903, 0.0067571, 171.31, 7.73181E-016, 68.9625, 6.16274E-016, -172.235, 4.996E-016, 180
550, 11.00000, 0.33063, 97.4649, 0.507113, 169.219, 0.150953, 45.9973, 2.13348E-014, -92.3859, 1.16822E-014, 171.254, 6.9369E-015, -39.8056
650, 13.00000, 0.130197, 86.8872, 0.305993, -154.194, 0.113689, 115.749, 4.28839E-015, 21.2505, 1.05932E-014, 123.024, 6.16948E-015, 59.7436
750, 15.00000, 0.0469859, 2.41356, 0.171414, -118.16, 0.043766, -166.153, 4.93144E-015, -58.815, 3.4542E-015, 45, 5.82841E-015, -72.2553
850, 17.00000, 0.128041, -11.9065, 0.170273, 84.726, 0.0518134, -76.4336, 8.21865E-015, 88.4518, 2.74654E-015, 165.964, 8.88178E-016, -90
950, 19.00000, 0.148508, -87.2423, 0.109467, 94.9767, 0.0528608, 7.47944, 6.16948E-015, -30.2564, 2.26442E-015, 78.6901, 3.55965E-015, -86.4237
1050, 21.00000, 0.0263818, -175.871, 0.175078, 60.321, 0.0534443, 22.2915, 4.01066E-015, -138.366, 4.04127E-015, 142.815, 1.73422E-015, -140.194
1150, 23.00000, 0.180205, 104.447, 0.175726, -178.212, 0.115795, 31.6188, 2.84356E-015, 38.6598, 1.89715E-015, -69.444, 2.22045E-015, 0
1250, 25.00000, 0.186549, 49.0776, 0.351861, -155.507, 0.128336, 87.1341, 1.05302E-014, -65.0561, 8.0428E-015, -173.66, 8.48431E-015, 96.009
1350, 27.00000, 0.0352619, -120.288, 0.330803, -90.8673, 0.124853, -164.805, 2.75774E-015, -40.1009, 7.45174E-015, 24.6559, 4.0214E-015, 96.3402
1450, 29.00000, 0.233242, -146.921, 0.51664, -63.4619, 0.303501, 174.319, 4.52884E-015, -101.31, 1.43833E-014, 81.1193, 3.66205E-015, 75.9638
1550, 31.00000, 0.387296, -126.576, 0.70047, 12.4626, 0.262963, -105.746, 1.28172E-014, -14.0362, 1.94793E-014, -46.8476, 1.57135E-014, 42.7094
1650, 33.00000, 0.160624, 144.367, 0.250288, -41.7862, 0.0705019, 146.852, 1.20418E-014, 128.825, 2.08961E-015, -129.611, 1.9767E-015, -128.157
1750, 35.00000, 0.411372, -16.7553, 0.694125, 79.5168, 0.36475, -57.3152, 2.34654E-014, -119.476, 2.22045E-015, 36.8699, 8.1886E-015, 139.399
1850, 37.00000, 0.267581, -57.213, 0.275095, 65.4477, 0.106849, -57.8651, 1.16932E-014, 102.057, 4.57757E-015, -50.9061, 3.94246E-015, -122.347
1950, 39.00000, 0.0261214, 15.4035, 0.201725, 173.522, 0.095624, 23.9954, 1.33227E-015, 90, 1.29948E-015, 160.017, 9.93014E-016, 153.435
2050, 41.00000, 0.112901, 104.66, 0.196387, -172.237, 0.145036, 86.2611, 4.96507E-015, -153.435, 1.35064E-015, 80.5377, 8.00593E-016, -123.69
2150, 43.00000, 0.224391, 98.8077, 0.251562, -134.581, 0.102612, 98.1036, 5.55112E-015, 16.2602, 3.27845E-015, 28.3008, 1.33227E-015, -90
2250, 45.00000, 0.0506214, 71.5801, 0.150223, -103.736, 0.08155, 107.656, 3.86551E-015, -125.059, 5.23691E-016, -32.0054, 6.28037E-016, -45
2350, 47.00000, 0.177431, -154.447, 0.340908, -71.784, 0.231351, 165.03, 5.0634E-015, 127.875, 6.28037E-016, 135, 4.55191E-015, -77.3196
2450, 49.00000, 0.23944, -158.193, 0.25848, -25.5053, 0.12199, -160.271, 6.5343E-015, -99.7824, 2.12108E-015, -132.879, 3.38208E-015, 66.8014
