Freq, Harmonic, V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
50, 1.00000, 236.873, -30.7206, 0, 0, 30.3965, -30.7217, 30.3965, 149.278
100, 2.00000, 0.0142598, -112.626, 0, 0, 0.0609836, 9.50874, 0.0609836, -170.491
150, 3.00000, 0.221711, -166.358, 0, 0, 0.737521, -46.7561, 0.737521, 133.244
200, 4.00000, 0.0235873, 156.808, 0, 0, 0.0543136, -88.7053, 0.0543136, 91.2947
250, 5.00000, 0.274646, 95.2817, 0, 0, 0.515502, -152.631, 0.515502, 27.3694
300, 6.00000, 0.0704818, 86.6344, 0, 0, 0.124826, -160.775, 0.124826, 19.2246
350, 7.00000, 0.350699, 11.6179, 0, 0, 0.479293, 121.027, 0.479293, -58.9726
400, 8.00000, 0.0294828, -7.32455, 0, 0, 0.058125, 112.916, 0.058125, -67.0842
450, 9.00000, 0.267107, -45.667, 0, 0, 0.566957, 79.2297, 0.566957, -100.77
500, 10.00000, 0.0296227, -55.0982, 0, 0, 0.0476435, 63.4178, 0.0476435, -116.582
550, 11.00000, 0.239477, -85.2012, 0, 0, 0.354467, 32.0703, 0.354467, -147.93
650, 13.00000, 0.240906, -144.156, 0, 0, 0.305871, -28.1972, 0.305871, 151.803
750, 15.00000, 0.162399, 144.264, 0, 0, 0.220113, -95.7336, 0.220113, 84.2664
850, 17.00000, 0.0519635, 82.0897, 0, 0, 0.051455, -163.877, 0.051455, 16.1225
950, 19.00000, 0.176558, 25.562, 0, 0, 0.157223, 139.249, 0.157223, -40.751
1050, 21.00000, 0.0906303, -38.8969, 0, 0, 0.0905226, 78.5985, 0.0905226, -101.402
1150, 23.00000, 0.0858065, -97.3555, 0, 0, 0.0638423, 15.3344, 0.0638423, -164.666
1250, 25.00000, 0.0831762, -167.396, 0, 0, 0.0571722, -54.9949, 0.0571722, 125.005
1350, 27.00000, 0.0493613, 130.812, 0, 0, 0.0390676, -112.989, 0.0390676, 67.0114
1450, 29.00000, 0.234855, 81.5117, 0, 0, 0.140072, -166.384, 0.140072, 13.6156
1550, 31.00000, 0.4037, 10.089, 0, 0, 0.22583, 122.15, 0.22583, -57.8498
1650, 33.00000, 0.312203, -48.8697, 0, 0, 0.204867, 66.6115, 0.204867, -113.388
1750, 35.00000, 0.300293, -102.82, 0, 0, 0.149601, 9.07363, 0.149601, -170.926
1850, 37.00000, 0.165505, -169.11, 0, 0, 0.0781353, -57.1098, 0.0781353, 122.89
1950, 39.00000, 0.0442166, 130.596, 0, 0, 0.0247746, -114.063, 0.0247746, 65.9374
2050, 41.00000, 0.0556872, 67.1257, 0, 0, 0.0238217, 179.226, 0.0238217, -0.774174
2150, 43.00000, 0.0373262, 7.72285, 0, 0, 0.0152459, 120.02, 0.0152459, -59.9804
2250, 45.00000, 0.0253359, -57.9049, 0, 0, 0.0123873, 57.655, 0.0123873, -122.345
2350, 47.00000, 0.0482886, -116.034, 0, 0, 0.0181045, -3.46602, 0.0181045, 176.534
2450, 49.00000, 0.0423163, -177.171, 0, 0, 0.0152459, -64.5191, 0.0152459, 115.481
