Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 225.209, -30.7316, 211.64, -153.172, 236.778, 88.7062, 2.22036E-011, 124.992, 1.67703E-011, -167.471, 1.49998E-011, -75.9638
100, 2.00000, 0.0189727, -73.4026, 0.00699564, 22.7397, 0.00290754, -144.432, 1.02358E-015, 49.3987, 2.98937E-016, -111.801, 7.46826E-016, 138.013
150, 3.00000, 1.09887, -85.6074, 1.04305, -56.8859, 0.592621, -102.837, 2.84356E-014, -75.5297, 6.20455E-014, 156.371, 2.84217E-014, -90
200, 4.00000, 0.0154846, -170.031, 0.0344874, 68.9094, 0.00755975, -36.1387, 3.14018E-016, 135, 3.23683E-016, 59.0362, 4.44089E-016, -90
250, 5.00000, 0.497271, 90.5403, 0.860613, 168.992, 0.288803, 105.16, 1.42178E-014, -1.78991, 2.41611E-014, -107.103, 2.24693E-014, 18.4349
300, 6.00000, 0.0242475, 163.493, 0.0455496, -165.885, 0.0113076, 69.2861, 4.57757E-016, 75.9638, 4.00297E-016, 146.31, 4.96507E-016, -153.435
350, 7.00000, 0.321213, -89.0884, 1.12654, 76.2552, 0.306146, 8.01912, 1.7585E-014, 45, 7.5886E-015, -69.444, 1.12347E-014, 18.4349
400, 8.00000, 0.036811, -25.6209, 0.0317176, 100.742, 0.00724418, -74.5203, 1.18572E-015, -73.6861, 2.37144E-016, -20.556, 0, 0
450, 9.00000, 0.546189, -116.946, 0.942442, -101.002, 0.374008, -165.904, 1.52808E-014, -125.538, 1.51772E-014, 69.444, 1.12347E-014, 108.435
500, 10.00000, 0.00561504, -87.1275, 0.0165532, -101.522, 0.00296344, -48.1174, 1.44888E-016, 73.3008, 1.21183E-016, 156.371, 2.42365E-016, 66.3706
550, 11.00000, 0.393713, 92.4921, 0.563203, -169.984, 0.269951, 36.014, 6.46604E-015, 15.9454, 1.06581E-014, -90, 7.32411E-015, -165.964
650, 13.00000, 0.231922, 23.3823, 0.0655148, 7.82962, 0.0564484, 164.249, 5.49757E-015, -43.3634, 9.93014E-016, -26.5651, 8.88178E-016, 0
750, 15.00000, 0.194463, 162.575, 0.161246, -38.4269, 0.092398, 108.6, 4.0943E-015, -77.4712, 1.22125E-015, 90, 4.63643E-015, 163.301
850, 17.00000, 0.425155, 24.1486, 0.165427, 94.4925, 0.288733, -71.5277, 6.21725E-015, 0, 1.77636E-015, 0, 0, 0
950, 19.00000, 0.360713, -19.7415, 0.173835, 94.4067, 0.0659403, 26.1856, 8.25158E-015, 66.1941, 3.21965E-015, -43.6028, 9.93014E-016, -116.565
1050, 21.00000, 0.0869614, -95.3591, 0.226305, 121.516, 0.0449409, -145.573, 4.52884E-015, 168.69, 1.98603E-015, 63.4349, 2.24529E-015, 171.469
1150, 23.00000, 0.145405, 144.819, 0.262307, 173.863, 0.295297, 60.8864, 1.25607E-015, -135, 8.88178E-016, 180, 2.22045E-015, -90
1250, 25.00000, 0.16349, 123.645, 0.417274, -168.661, 0.146675, 69.7806, 9.93014E-016, 63.4349, 2.18689E-015, 156.038, 1.11022E-015, 90
1350, 27.00000, 0.13773, 56.5799, 0.522691, -89.5706, 0.0838841, 119.375, 8.9509E-016, 172.875, 1.83103E-015, -14.0362, 8.67112E-016, -129.806
1450, 29.00000, 0.278639, -174.6, 0.535333, -72.5482, 0.360768, 179.508, 1.83103E-015, 104.036, 3.20237E-015, 146.31, 0, 0
1550, 31.00000, 0.618479, -132.366, 0.676587, -7.04536, 0.216352, -133.116, 4.44089E-015, 126.87, 5.34754E-015, -41.6335, 2.51215E-015, 135
1650, 33.00000, 0.169046, -91.1562, 0.174486, -6.58959, 0.220255, -143.391, 1.33227E-015, 0, 3.55271E-015, -90, 1.98603E-015, 63.4349
1750, 35.00000, 0.656175, -43.6466, 0.776231, 66.1173, 0.355928, -79.7388, 1.00191E-014, 12.8043, 4.46304E-015, -174.289, 3.66205E-015, 104.036
1850, 37.00000, 0.228092, -122.904, 0.548896, 77.7256, 0.259239, -40.6827, 1.11022E-015, 143.13, 3.66205E-015, -165.964, 5.82841E-015, -49.6355
1950, 39.00000, 0.144811, 37.5199, 0.26398, 118.707, 0.294013, 16.4942, 0, 0, 1.79018E-015, 82.875, 1.40433E-015, 71.565
2050, 41.00000, 0.353542, 54.3232, 0.367803, 176.949, 0.166728, 15.4655, 2.48253E-015, -63.4349, 4.44089E-016, 180, 1.42178E-015, -128.66
2150, 43.00000, 0.352286, 40.0473, 0.473701, -148.115, 0.197175, 88.0845, 2.22045E-015, 0, 1.42178E-015, 128.66, 9.93014E-016, -153.435
2250, 45.00000, 0.0457168, -18.5535, 0.376853, -159.114, 0.210956, 124.901, 1.79018E-015, 172.875, 2.48253E-015, 26.5651, 8.00593E-016, 146.31
2350, 47.00000, 0.39623, -170.365, 0.444533, -88.8593, 0.487973, 131.117, 1.25607E-015, -45, 2.97904E-015, -26.5651, 1.98603E-015, 116.565
2450, 49.00000, 0.520503, 165.776, 0.410679, -40.2337, 0.14073, -176.674, 2.18689E-015, -113.962, 1.48952E-015, -153.435, 4.96507E-016, -26.5651
