Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 200.178, -34.3508, 208.896, -153.841, 206.613, 86.3, 1.16472E-011, -141.34, 2.42683E-011, 12.9946, 1.62695E-011, -116.565
100, 2.00000, 0.056094, -79.3874, 0.0232651, 46.7886, 0.0192097, -178.784, 5.79021E-015, -85.6013, 3.72215E-015, -162.646, 1.98603E-015, 26.5651
150, 3.00000, 2.65802, -93.1112, 1.47892, -89.4011, 1.82171, -86.8941, 1.06581E-013, 143.13, 1.15668E-013, -169.38, 1.13687E-013, -90
200, 4.00000, 0.0656741, -164.218, 0.0553812, 96.088, 0.0398916, -52.2778, 3.08474E-015, -30.2564, 8.88178E-016, 90, 2.22045E-015, 126.87
250, 5.00000, 1.39721, 68.3183, 0.316882, -170.542, 1.0844, -47.445, 7.52807E-014, -160.71, 3.55271E-015, -90, 3.55271E-014, -126.87
300, 6.00000, 0.14523, 156.104, 0.118771, 161.124, 0.0734519, 148.12, 7.35098E-015, 64.9831, 9.93014E-016, -153.435, 5.0243E-015, 135
350, 7.00000, 1.53783, -151.028, 1.08049, 89.4621, 1.29106, -27.4316, 4.01944E-014, -135, 3.49902E-014, 113.962, 2.84217E-014, -90
400, 8.00000, 0.108358, -50.5775, 0.0594458, 101.154, 0.0721572, -144.901, 4.44644E-015, -87.1376, 1.42178E-015, 38.6598, 1.83103E-015, 165.964
450, 9.00000, 1.89861, -123.475, 1.33616, -143.416, 1.3214, -130.43, 1.78203E-013, -23.4986, 3.03544E-014, -69.444, 7.41828E-014, -163.301
500, 10.00000, 0.0445827, -19.7167, 0.0553692, -109.584, 0.0144178, -169.611, 9.15513E-016, -165.964, 2.5621E-015, -157.046, 8.9509E-016, 29.7449
550, 11.00000, 0.580501, 45.5042, 0.754967, -178.519, 0.870959, -50.4817, 8.88178E-015, -143.13, 1.24345E-014, 90, 1.42109E-014, 90
650, 13.00000, 0.289162, -16.2542, 0.645865, -159.042, 0.311955, 124.877, 1.37882E-014, -104.931, 8.88178E-015, 36.8699, 5.0243E-015, -135
750, 15.00000, 0.570977, 130.786, 0.0851197, -179.174, 0.165242, 50.8426, 8.48431E-015, -173.991, 1.79018E-015, 97.125, 3.20237E-015, 56.3099
850, 17.00000, 0.927528, -10.6945, 0.320941, 131.673, 0.768205, -128.917, 2.16832E-014, -124.992, 3.97205E-015, 116.565, 2.51372E-014, 147.995
950, 19.00000, 0.659667, -57.522, 0.267231, -152.858, 0.133336, -8.21189, 1.60488E-014, 104.421, 4.213E-015, -18.4349, 9.93014E-016, -116.565
1050, 21.00000, 0.210711, -136.17, 0.246944, 60.8937, 0.196072, 148.958, 4.78299E-015, -111.801, 2.80867E-015, 161.565, 1.98603E-015, 26.5651
1150, 23.00000, 0.475048, 130.857, 0.176468, -173.843, 0.406221, -11.7595, 1.26234E-014, 129.289, 3.97205E-015, 26.5651, 4.44089E-015, 126.87
1250, 25.00000, 0.137468, -9.76186, 0.273139, -163.708, 0.347298, 64.5483, 3.55271E-015, 90, 1.83103E-015, -104.036, 1.83103E-015, -165.964
1350, 27.00000, 0.333789, -86.7542, 0.422492, -137.828, 0.346098, -120.871, 4.72073E-015, -131.186, 2.97904E-015, 116.565, 5.95808E-015, 153.435
1450, 29.00000, 0.490983, 149.351, 0.898746, -67.9026, 0.599232, 42.2867, 6.46604E-015, 15.9454, 3.55271E-015, 0, 3.20237E-015, -123.69
1550, 31.00000, 1.07778, 112.136, 1.21314, 3.36149, 1.03071, -106.297, 3.55271E-015, 180, 6.40475E-015, 33.6901, 1.63772E-014, 130.601
1650, 33.00000, 0.868818, -159.285, 0.134546, -164.789, 0.126119, 112.986, 1.71941E-014, 98.9149, 2.55351E-015, 90, 1.25607E-015, -135
1750, 35.00000, 1.11096, -86.1078, 1.27808, 65.53, 1.07585, 163.084, 1.24345E-014, -90, 2.51215E-015, 135, 7.10543E-015, 90
1850, 37.00000, 0.571385, 114.075, 0.377677, 6.94726, 0.915071, -87.1659, 8.88178E-015, -90, 2.66454E-015, 90, 1.03579E-014, -30.9638
1950, 39.00000, 0.532893, 25.9015, 0.193058, -50.8571, 0.30537, 42.4359, 1.07319E-014, -114.444, 3.7943E-015, -69.444, 2.67377E-015, -131.634
2050, 41.00000, 0.276347, -8.88514, 0.584789, 142.933, 0.504641, -128.089, 2.39149E-015, 21.8014, 2.80867E-015, -71.565, 5.32907E-015, 0
2150, 43.00000, 0.688536, -95.0629, 0.417607, -171.805, 0.818931, 64.5611, 6.46604E-015, 164.055, 3.20237E-015, 33.6901, 1.13742E-014, 51.3402
2250, 45.00000, 0.639276, 132.296, 0.309482, 50.4222, 0.26814, 128.262, 5.79021E-015, -122.471, 2.22045E-015, 143.13, 2.26442E-015, -101.31
2350, 47.00000, 0.791681, 130.01, 0.916322, -94.2784, 0.87726, 1.75018, 5.32907E-015, 180, 8.88178E-016, 0, 6.21725E-015, 180
2450, 49.00000, 0.805441, 29.2306, 0.522021, -58.3017, 0.872026, -177.264, 7.99361E-015, 0, 0, 0, 5.0243E-015, -135
