Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 235.735, -30.7444, 235.723, -150.258, 227.969, 88.8151, 5.45697E-012, 0, 2.19789E-011, -155.556, 1.81899E-011, -126.87
100, 2.00000, 0.00717311, 95.2296, 0.00838649, 63.6577, 0.0116327, 145.805, 4.00297E-016, -56.3099, 3.14018E-016, 135, 4.96507E-016, 116.565
150, 3.00000, 0.101271, -97.7115, 0.46477, -98.6059, 0.616568, -64.425, 3.55271E-015, 0, 2.24693E-014, -18.4349, 0, 0
200, 4.00000, 0.00552, -131.484, 0.00491367, -0.722964, 0.0227287, -28.0158, 5.55112E-016, -126.87, 2.22045E-016, 90, 5.55112E-016, 180
250, 5.00000, 0.262558, -99.8352, 0.190622, -98.2342, 0.938919, -48.1401, 1.58882E-014, -116.565, 2.16103E-014, -170.538, 3.55271E-014, -126.87
300, 6.00000, 0.00614042, 93.9458, 0.0152092, 86.8924, 0.0572142, -168.097, 1.11022E-016, 0, 4.57757E-016, -75.9638, 8.88178E-016, 90
350, 7.00000, 0.28838, -130.245, 0.228208, -143.417, 0.72772, -28.9178, 7.94411E-015, 26.5651, 3.55271E-015, 180, 7.10543E-015, 0
400, 8.00000, 0.0134001, 102.547, 0.0150738, 101.1, 0.0300196, -140.74, 1.11022E-016, 180, 1.11022E-016, 180, 2.22045E-016, -90
450, 9.00000, 0.213522, -160.191, 0.218998, -144.541, 0.733372, -76.7233, 5.0243E-015, -45, 7.32411E-015, 14.0362, 2.13163E-014, 180
500, 10.00000, 0.0064329, 80.5344, 0.0140625, 91.3807, 0.0249921, 137.524, 4.44956E-016, -176.424, 1.24127E-016, -26.5651, 4.47545E-016, -97.125
550, 11.00000, 0.2123, 133.422, 0.0986676, -113.828, 0.247582, -57.0868, 5.61733E-015, 71.565, 2.22045E-015, 36.8699, 3.97205E-015, -63.4349
650, 13.00000, 0.0576776, -58.7385, 0.161867, -79.7291, 0.0868611, -57.1906, 8.88178E-016, 180, 1.83103E-015, 75.9638, 1.83103E-015, -104.036
750, 15.00000, 0.124615, 29.5184, 0.12433, 157.257, 0.0755124, -123.747, 8.9509E-016, -29.7449, 2.24529E-015, 81.4692, 9.15513E-016, -14.0362
850, 17.00000, 0.0431671, 122.988, 0.254078, 163.157, 0.10651, -89.9619, 4.44089E-016, 180, 1.60119E-015, -146.31, 1.25607E-015, -135
950, 19.00000, 0.0933334, -164.85, 0.114061, -143.137, 0.127096, 130.905, 1.11022E-015, 90, 1.89715E-015, 20.556, 4.44089E-016, 180
1050, 21.00000, 0.0914013, 161.405, 0.0881461, -78.9663, 0.0284877, 152.18, 1.51007E-015, 72.8973, 1.54237E-015, 149.744, 1.04738E-015, -122.005
1150, 23.00000, 0.0730502, 164.148, 0.145473, -27.0432, 0.0887737, -44.3223, 4.57757E-016, -14.0362, 1.11022E-016, -90, 3.20237E-015, 56.3099
1250, 25.00000, 0.204012, 0.41201, 0.131945, 53.7313, 0.137707, 133.486, 9.93014E-016, -63.4349, 0, 0, 1.77636E-015, 180
1350, 27.00000, 0.102161, -66.5893, 0.0856916, 117.933, 0.228856, -41.4951, 2.22045E-016, -90, 1.42178E-015, -128.66, 2.39149E-015, -21.8014
1450, 29.00000, 0.199802, -45.5828, 0.0113502, -30.7338, 0.43955, 82.5802, 5.17893E-015, -120.964, 1.77636E-015, 0, 5.61733E-015, 108.435
1550, 31.00000, 0.331137, 156.628, 0.30939, 171.801, 0.443386, -64.4085, 7.5886E-015, -20.556, 1.60119E-015, -56.3099, 5.61733E-015, 108.435
1650, 33.00000, 0.180577, -173.617, 0.130798, -108.448, 0.20385, -4.88249, 1.40433E-015, 71.565, 6.28037E-016, 45, 9.93014E-016, -63.4349
1750, 35.00000, 0.180463, 101.508, 0.181722, 107.448, 0.631779, -108.167, 3.55271E-015, 90, 3.55271E-015, 0, 6.16948E-015, 149.744
1850, 37.00000, 0.191485, -92.6189, 0.0586117, 110.168, 0.231079, -0.0687795, 1.79018E-015, 29.7449, 1.11022E-015, -126.87, 1.98603E-015, -26.5651
1950, 39.00000, 0.103724, 38.7785, 0.212524, 99.1544, 0.243331, -159.063, 6.66134E-016, 180, 4.44089E-016, 90, 1.83103E-015, -165.964
2050, 41.00000, 0.0960055, -172.251, 0.117847, -172.642, 0.327455, 5.10373, 9.15513E-016, -75.9638, 1.77636E-015, -90, 1.25607E-015, -135
2150, 43.00000, 0.196131, 57.8961, 0.0937481, -11.9435, 0.297777, 148.468, 1.60119E-015, -56.3099, 9.93014E-016, 26.5651, 1.11022E-016, 0
2250, 45.00000, 0.159259, 160.482, 0.0909821, -132.623, 0.271922, -67.6611, 6.66134E-016, -90, 9.48575E-016, -20.556, 1.25607E-015, -135
2350, 47.00000, 0.190078, -41.3245, 0.183848, 3.63857, 0.36895, 123.267, 1.98603E-015, 116.565, 9.15513E-016, 165.964, 4.44089E-016, 0
2450, 49.00000, 0.154491, 179.141, 0.185541, 116.368, 0.302431, -80.9293, 0, 0, 4.44089E-016, -90, 4.44089E-016, -90
