Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 210.049, -33.6891, 200.204, -154.146, 199.149, 85.268, 2.22036E-011, 145.008, 1.09139E-011, -90, 2.05795E-011, 45
100, 2.00000, 0.0249598, -61.9371, 0.0246563, 40.6578, 0.0266897, 155.96, 1.54237E-015, 120.256, 5.22277E-015, 177.563, 3.97205E-015, 63.4349
150, 3.00000, 1.44837, -89.327, 1.96824, -79.9777, 2.45561, -87.988, 9.9476E-014, -90, 8.98773E-014, 71.565, 2.41166E-013, -135
200, 4.00000, 0.0524719, -155.697, 0.0497759, 75.8617, 0.0458058, -67.0345, 5.55112E-016, 36.8699, 4.0214E-015, -83.6598, 1.98603E-015, 26.5651
250, 5.00000, 0.210173, 45.8481, 0.985315, -178.169, 1.1259, -56.5923, 1.58882E-014, -26.5651, 3.49902E-014, -66.0375, 7.55317E-014, -131.186
300, 6.00000, 0.0999045, 168.064, 0.0735759, 162.712, 0.0567286, 150.765, 2.67377E-015, -138.366, 2.84356E-015, -38.6598, 5.61733E-015, 108.435
350, 7.00000, 1.0409, -148.697, 1.32129, 83.2027, 1.42306, -31.5708, 4.54969E-014, -38.6598, 4.27803E-014, 175.236, 2.13163E-014, 180
400, 8.00000, 0.0643115, -27.7889, 0.0614318, 86.9986, 0.0659873, -156.437, 2.80867E-015, 71.565, 1.79018E-015, -150.255, 2.66454E-015, 180
450, 9.00000, 1.16807, -145.682, 1.40157, -132.679, 1.5108, -127.112, 1.77636E-014, -126.87, 5.32907E-014, 0, 5.1238E-014, -56.3099
500, 10.00000, 0.0292163, 4.27351, 0.0286268, -108.787, 0.00521384, -83.2268, 5.44073E-016, -84.144, 6.57989E-016, -152.354, 3.23683E-016, -120.964
550, 11.00000, 0.607693, 58.9242, 1.0011, -168.703, 0.934204, -49.7334, 1.59872E-014, -90, 1.28095E-014, -56.3099, 1.06581E-014, 180
650, 13.00000, 0.486417, -31.6975, 0.385646, -153.923, 0.411068, 153.479, 1.85457E-014, -16.6992, 1.77636E-015, 90, 1.29321E-014, 164.055
750, 15.00000, 0.0900957, -162.543, 0.0270763, 56.5851, 0.254738, 91.4282, 4.44089E-015, 53.1301, 1.25607E-015, 45, 5.0243E-015, -135
850, 17.00000, 0.333468, 11.204, 0.787097, 95.096, 0.8655, -143.289, 1.58882E-014, -153.435, 1.24345E-014, 0, 1.77636E-015, 90
950, 19.00000, 0.277978, -81.9434, 0.238507, 140.804, 0.510011, 13.6128, 9.05768E-015, 101.31, 2.51215E-015, -135, 6.40475E-015, 123.69
1050, 21.00000, 0.253379, 41.7956, 0.184918, 87.109, 0.259433, 159.738, 3.58036E-015, 7.12502, 5.0243E-015, 45, 3.66205E-015, -75.9638
1150, 23.00000, 0.267716, 105.915, 0.524324, -166.205, 0.485892, -27.592, 1.46482E-014, 14.0362, 3.97205E-015, -26.5651, 7.10543E-015, 0
1250, 25.00000, 0.296397, -35.3988, 0.420314, 177.463, 0.158164, 115.659, 6.23309E-015, 175.914, 2.09476E-015, 147.995, 2.97904E-015, -63.4349
1350, 27.00000, 0.30635, -146.005, 0.554369, -132.247, 0.416354, -119.385, 4.72073E-015, -131.186, 3.9968E-015, 0, 1.98603E-015, -26.5651
1450, 29.00000, 0.715792, 169.486, 0.756454, -71.4067, 0.668654, 53.9924, 1.98603E-014, 79.6952, 4.44089E-015, -53.1301, 1.44585E-014, -169.38
1550, 31.00000, 1.11743, 127.97, 1.20792, -5.98452, 0.894012, -117.294, 2.0273E-014, 118.811, 2.51215E-015, -45, 2.42426E-014, 28.4429
1650, 33.00000, 0.420225, -166.475, 0.163834, 170.464, 0.282554, -142.013, 4.86982E-015, 114.228, 9.15513E-016, -75.9638, 6.9511E-015, 26.5651
1750, 35.00000, 1.3841, -66.5238, 0.889391, 26.858, 0.816723, 160.827, 3.06647E-014, 169.992, 1.25607E-014, -8.1301, 9.93014E-015, -169.695
1850, 37.00000, 0.423112, 137.283, 0.635517, 38.8859, 0.737054, -126.77, 1.12347E-014, 161.565, 4.44089E-015, 0, 5.40258E-015, 170.538
1950, 39.00000, 0.254442, -112.843, 0.114096, 72.9545, 0.555527, 11.4376, 6.28037E-015, 81.8699, 2.51215E-015, 135, 4.52884E-015, 168.69
2050, 41.00000, 0.487538, 43.9435, 0.422299, 103.8, 0.342685, -147.433, 8.48431E-015, -132.879, 1.25607E-015, -45, 1.83103E-015, 14.0362
2150, 43.00000, 0.385401, -55.936, 0.778324, -169.478, 0.652664, -1.94115, 6.46604E-015, 74.0546, 4.44089E-015, -126.87, 5.68712E-015, 141.34
2250, 45.00000, 0.391783, 13.1428, 0.181212, 108.438, 0.747538, 116.84, 6.10623E-015, 90, 3.66205E-015, 165.964, 6.46604E-015, 15.9454
2350, 47.00000, 0.987021, 149.321, 0.86092, -142.225, 0.766653, -12.1674, 9.93014E-015, -26.5651, 3.55271E-015, 180, 7.99361E-015, 180
2450, 49.00000, 0.506201, 55.8645, 0.919768, -59.4288, 0.76043, 110.714, 4.44089E-015, -143.13, 3.58036E-015, 7.12502, 6.28037E-015, 135
