Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 210.519, -33.072, 219.409, -152.765, 219.1, 87.845, 5.14488E-012, 135, 1.63709E-011, 180, 7.27596E-012, 0
100, 2.00000, 0.00770768, 138.974, 0.00869739, -149.258, 0.0195156, 170.533, 2.48253E-016, 116.565, 4.00297E-016, 146.31, 1.88411E-015, 45
150, 3.00000, 1.19617, -59.7195, 0.953407, -45.7498, 1.00227, -67.7481, 5.85929E-014, -75.9638, 4.01944E-014, 45, 6.35529E-014, 26.5651
200, 4.00000, 0.0342842, 177.26, 0.0246863, 46.7055, 0.0226864, -41.2659, 1.29948E-015, 109.983, 3.07073E-015, -130.601, 1.77982E-015, -86.4237
250, 5.00000, 0.941394, 60.8018, 0.390218, 146.503, 0.405256, 137.978, 8.25767E-014, 18.8247, 7.10543E-015, -90, 3.49902E-014, -156.038
300, 6.00000, 0.0375006, -130.518, 0.0239032, -70.958, 0.0208431, -153.652, 9.15513E-016, 104.036, 4.96507E-016, 63.4349, 8.00593E-016, 123.69
350, 7.00000, 1.18001, -149.746, 1.12753, 91.5158, 0.177208, 30.1698, 2.5761E-014, 144.118, 2.18689E-014, -156.038, 2.00972E-014, 45
400, 8.00000, 0.0318838, 15.6576, 0.0159829, 167.886, 0.0230451, -150.812, 2.09476E-015, -32.0054, 2.22045E-016, 0, 8.00593E-016, 123.69
450, 9.00000, 0.842917, -98.2598, 0.53667, -110.807, 0.630156, -157.79, 8.19871E-014, -157.046, 2.95244E-014, -21.1613, 1.00486E-014, -135
500, 10.00000, 0.00850584, -166.617, 0.0189756, 57.8144, 0.00144039, 4.68184, 5.41412E-016, -88.5312, 4.5865E-016, 162.387, 2.55894E-016, -77.4712
550, 11.00000, 0.9189, 89.6313, 0.642553, -134.633, 0.499102, -20.0245, 4.52884E-014, -64.44, 1.19162E-014, 116.565, 1.77636E-014, -53.1301
650, 13.00000, 0.116512, 14.4441, 0.259539, 28.3375, 0.466339, 112.435, 1.98603E-015, -26.5651, 1.77636E-015, 0, 1.81154E-014, 78.6901
750, 15.00000, 0.264846, -49.8646, 0.322073, -43.6618, 0.246263, -132.353, 1.49217E-014, 36.5289, 4.44089E-016, 180, 6.40475E-015, 123.69
850, 17.00000, 0.279882, -12.4145, 0.173426, 104.135, 0.329737, -128.341, 3.97205E-015, 63.4349, 3.58036E-015, 29.7449, 8.9509E-015, 172.875
950, 19.00000, 0.364748, -115.483, 0.487421, 93.0901, 0.33649, 32.1259, 6.04027E-015, -143.973, 3.58036E-015, 97.125, 7.94411E-015, -63.4349
1050, 21.00000, 0.169717, 117.519, 0.221333, 100.959, 0.225896, 61.3433, 1.98603E-015, 153.435, 4.96507E-015, 63.4349, 5.68712E-015, -128.66
1150, 23.00000, 0.414532, 78.3698, 0.383458, -145.936, 0.365377, -1.65942, 1.01268E-014, 142.125, 7.16072E-015, -29.7449, 5.32907E-015, 180
1250, 25.00000, 0.296738, -21.2991, 0.514976, -151.124, 0.151268, 124.16, 9.36017E-015, 112.306, 1.27245E-014, 60.7512, 5.37054E-015, 82.875
1350, 27.00000, 0.300289, -111.069, 0.416513, -121.731, 0.149313, -129.711, 7.16072E-015, 97.125, 4.44089E-016, -90, 2.80867E-015, 161.565
1450, 29.00000, 0.630391, -178.511, 0.570766, -10.2254, 0.480976, 123.744, 9.44147E-015, -41.1859, 6.21725E-015, 90, 5.32907E-015, 90
1550, 31.00000, 0.603057, 142.932, 0.660091, -15.0256, 0.667212, -51.5729, 1.03579E-014, -120.964, 4.78299E-015, -111.801, 1.77636E-015, 0
1650, 33.00000, 0.417111, -20.4424, 0.329839, 27.4946, 0.256742, -82.0191, 8.74754E-015, -23.9625, 5.34754E-015, -175.236, 4.0943E-015, 139.399
1750, 35.00000, 1.00644, -46.2439, 0.711841, 102.556, 0.531951, -140.058, 2.92964E-014, 75.9638, 1.98603E-015, 63.4349, 6.46604E-015, -105.945
1850, 37.00000, 0.386197, -162.232, 0.719644, 93.184, 0.344526, 8.08195, 5.56442E-015, 151.39, 4.44089E-015, 180, 9.14436E-015, -60.9454
1950, 39.00000, 0.357528, 110.215, 0.191895, 144.368, 0.374163, -3.232, 4.18953E-015, 57.9946, 1.25607E-015, 135, 1.25607E-015, -45
2050, 41.00000, 0.707726, 50.0112, 0.545243, -125.584, 0.125581, 21.0067, 1.19265E-014, 155.821, 2.1897E-015, 30.4655, 2.70129E-015, 170.538
2150, 43.00000, 0.36005, -16.4474, 0.650883, -145.185, 0.431305, 171.142, 1.71593E-014, 100.437, 3.46845E-015, 50.1944, 6.9369E-015, 140.194
2250, 45.00000, 0.363408, -153.605, 0.131212, -143.586, 0.265642, 104.402, 5.86215E-015, 52.6961, 4.57757E-016, 14.0362, 2.97904E-015, 153.435
2350, 47.00000, 0.819408, 161.794, 0.693769, -27.6967, 0.388661, 85.6474, 1.60119E-014, -160.56, 2.22045E-015, 90, 8.53068E-015, 51.3402
2450, 49.00000, 0.459306, 99.804, 0.664551, -35.9892, 0.473544, -84.4987, 6.9369E-015, -140.194, 1.25607E-015, 135, 1.83103E-015, -165.964
