Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
50, 1.00000, 215.387, -31.5374, 204.755, -154.14, 235.16, 88.4801, 2.82383E-011, -75.0686, 1.09139E-011, 0, 1.45519E-011, -90
100, 2.00000, 0.0217225, -69.72, 0.0152048, 51.3143, 0.0085853, -171.591, 1.29948E-015, 160.017, 7.77156E-016, 0, 1.40433E-015, 71.565
150, 3.00000, 1.11408, -68.2122, 1.13342, -74.7746, 0.758168, -93.6714, 9.25796E-014, -98.8297, 4.26696E-014, -177.614, 0, 0
200, 4.00000, 0.041075, -145.43, 0.0502326, 84.671, 0.00380866, -49.2962, 2.72984E-015, -101.139, 2.55728E-015, 3.11084, 8.67112E-016, -129.806
250, 5.00000, 1.18998, 65.6735, 0.249443, 125.636, 0.216032, 69.5211, 7.00705E-014, -30.4655, 1.25607E-014, 45, 2.86429E-014, -7.12502
300, 6.00000, 0.112268, -178.867, 0.0976707, 167.377, 0.0426252, 93.3378, 1.13591E-014, 4.48461, 7.7334E-015, 129.174, 1.98603E-015, 63.4349
350, 7.00000, 1.10882, -146.48, 1.33463, 81.9295, 0.246212, 72.3522, 8.6751E-014, -10.6197, 5.0243E-014, -135, 1.94793E-014, -155.772
400, 8.00000, 0.0728846, -18.4816, 0.0427389, 89.786, 0.0169706, -99.8542, 3.33668E-015, 135.674, 2.98937E-016, 158.199, 1.40433E-015, -18.4349
450, 9.00000, 1.04558, -97.663, 1.061, -127.861, 0.598219, -175.332, 8.7331E-014, 4.66686, 2.27485E-014, -51.3402, 2.13163E-014, 180
500, 10.00000, 0.0386355, 29.549, 0.039726, -99.9876, 0.0135705, -66.4524, 6.75892E-016, 109.179, 9.99586E-016, 1.59114, 1.20089E-015, -33.6901
550, 11.00000, 0.744726, 56.5557, 0.606037, 175.831, 0.333261, 7.00623, 4.78299E-014, 164.932, 1.5099E-014, 151.928, 8.88178E-015, 180
650, 13.00000, 0.220563, 3.69471, 0.483044, -173.377, 0.323087, 133.8, 9.44147E-015, -41.1859, 8.37906E-015, -147.995, 5.32907E-015, 0
750, 15.00000, 0.148994, -138.843, 0.124701, -156.233, 0.207212, 137.745, 3.9968E-015, -90, 2.97904E-015, 153.435, 5.0243E-015, 45
850, 17.00000, 0.212692, 1.72377, 0.178455, 101.389, 0.310206, -95.3824, 2.80867E-015, 71.565, 3.55271E-015, 0, 9.56597E-015, -111.801
950, 19.00000, 0.112512, -53.5079, 0.135062, 29.1495, 0.133571, 43.119, 1.89715E-015, 69.444, 1.9984E-015, 0, 4.52884E-015, -11.3099
1050, 21.00000, 0.0692356, 58.7474, 0.131434, 40.2621, 0.108539, -87.9576, 2.26442E-015, -101.31, 2.26442E-015, 168.69, 1.77636E-015, 0
1150, 23.00000, 0.196109, 60.7324, 0.140844, -170.632, 0.236201, 30.4271, 1.13742E-014, -141.34, 1.60119E-015, 146.31, 4.52884E-015, 78.6901
1250, 25.00000, 0.478969, 6.66122, 0.479332, -176.241, 0.127239, -47.3231, 1.25313E-014, -60.2551, 3.44706E-015, 75.0686, 2.18689E-015, -156.038
1350, 27.00000, 0.227095, -64.9837, 0.427937, -114.909, 0.110845, 150.612, 2.22045E-015, 0, 4.44644E-015, -177.138, 5.00955E-015, -102.804
1450, 29.00000, 0.883541, 176.646, 0.245339, -100.512, 0.516128, 122.807, 1.5027E-014, -161.03, 1.77636E-015, -90, 3.20237E-015, -33.6901
1550, 31.00000, 1.26169, 174.249, 1.03655, -12.961, 0.209895, 41.5507, 1.83008E-014, 35.6185, 4.86982E-015, -46.8476, 1.29321E-014, -164.055
1650, 33.00000, 0.270949, -29.0642, 0.407023, -128.223, 0.324945, -178.709, 4.63643E-015, 73.3008, 4.0943E-015, 12.5288, 5.40258E-015, 99.4623
1750, 35.00000, 1.14253, -27.0094, 0.588336, 11.4559, 0.805858, -113.894, 1.29321E-014, 74.0546, 8.88178E-016, 180, 3.97205E-015, -153.435
1850, 37.00000, 0.572662, -137.323, 0.447492, 30.7816, 0.15181, -129.015, 5.82841E-015, 17.7447, 3.69055E-015, 46.2189, 5.92489E-015, 77.0054
1950, 39.00000, 0.242719, -147.623, 0.329945, 93.4515, 0.316743, 36.4713, 2.36037E-015, 131.186, 1.79018E-015, -82.875, 8.88178E-016, -90
2050, 41.00000, 0.434606, 69.8592, 0.247109, 98.9155, 0.250981, -14.5202, 8.92608E-015, 5.71059, 2.51215E-015, 135, 2.39149E-015, 21.8014
2150, 43.00000, 0.62248, 26.5437, 0.470643, -166.061, 0.125367, -12.9629, 6.12537E-015, 133.531, 3.02013E-015, 107.103, 8.98115E-015, 8.53077
2250, 45.00000, 0.167182, -73.352, 0.360201, -176.072, 0.196339, 138.812, 4.996E-015, -143.13, 7.1089E-016, 51.3402, 3.46845E-015, 129.806
2350, 47.00000, 0.491324, -171.651, 0.298851, -150.121, 0.600542, 98.6626, 5.77316E-015, -90, 3.66205E-015, 165.964, 3.66205E-015, -104.036
2450, 49.00000, 0.694149, 142.199, 0.418143, -55.8164, 0.105343, 93.5717, 5.08405E-015, 58.3925, 1.54237E-015, -149.744, 1.11692E-014, -37.3255
